WARNING: 15 open meshes remove
     Removed: Fuselage
     Removed: Inner Fuselage
     Removed: Instrument Panel
     Removed: Bathroom and Coat Area
     Removed: Bathroom and Coat Area
     Removed: Bathroom and Coat Area
     Removed: Bathroom and Coat Area
     Removed: Turboprop Transparent
     Removed: Turboprop Transparent
     Removed: Propeller Cone
     Removed: Propeller Cone
     Removed: Power Shaft
     Removed: Power Shaft
     Removed: Electric Motor Power Shaft
     Removed: Electric Motor Power Shaft
WARNING: 6 open meshes merged
     Merged: Horizontal Stabilizer
     Merged: Truss Brace
     Merged: Galley
     Merged: Forward Bulkhead
     Merged: Overhead Bins
     Merged: Main Wing Transparent
...Mass Properties...
201 Num Comps
201 Total Num Meshes
171744 Total Num Tris

1871.570271             Total Mass
10.773449 -0.028768 -2.435520       Center of Gravity
336156.274379 519167.802453 799275.951889       Ixx, Iyy, Izz
1190.465318 45436.827206 107.246213       Ixy, Ixz, Iyz
1871.570271             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Passenger Seats	3.626292	-3.299498	-3.252012	-6.213240	0.825249	8.141762	8.677986	-0.004508	-0.009162	0.000822	3.626292
Passenger Seats	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Passenger Seats	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Passenger Seats	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Passenger Seats	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Passenger Seats	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Passenger Seats	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Passenger Seats	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Passenger Seats	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Passenger Seats	1.308056	0.660615	3.250000	-5.375000	0.232524	2.891801	3.110171	0.008160	0.001258	-0.000097	1.308056
Passenger Seats	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Passenger Seats	1.308056	0.660615	1.583333	-5.375000	0.232524	2.891801	3.110171	0.004010	0.001090	-0.000084	1.308056
Passenger Seats	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Passenger Seats	1.308056	0.660615	-1.583333	-5.375000	0.232522	2.891801	3.110169	0.005141	0.001489	-0.000097	1.308056
Passenger Seats	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Passenger Seats	1.308056	0.660615	-3.250000	-5.375000	0.232524	2.891801	3.110171	-0.005306	0.000464	-0.000084	1.308056
Passenger Seats	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Passenger Seats	1.245992	4.620729	3.250000	-5.375000	0.202290	2.754584	2.943406	0.015769	0.001100	-0.000070	1.245992
Passenger Seats	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Passenger Seats	1.245992	4.620729	1.583333	-5.375000	0.202290	2.754584	2.943406	-0.014610	-0.000029	-0.000070	1.245992
Passenger Seats	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Passenger Seats	1.245992	4.620729	-1.583333	-5.375000	0.202290	2.754584	2.943406	0.003789	0.000599	-0.000082	1.245992
Passenger Seats	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Passenger Seats	1.245992	4.620729	-3.250000	-5.375000	0.202290	2.754584	2.943406	0.009228	0.001640	-0.000082	1.245992
Passenger Seats	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
